Generation,Sex,Treatment,Sugar Weight,Glucose,Trehalose,Glycogen
F3,female,LSD,4.07,12.42428645,25.17219792,34.93900177
F3,female,LSD,3.27,7.545498567,29.4362421,15.80887622
F3,female,LSD,3.55,12.45458948,37.27803573,32.22850032
F3,female,LSD,3.71,7.303074324,18.68445161,16.35901839
F3,female,LSD,3.68,11.93943796,30.04617184,50.84320889
F3,female,LSD,3.47,9.697013718,19.58382724,26.45235069
F3,female,LSD,3.72,15.12125614,30.45924464,31.75982067
F3,female,CD,3.81,8.616995117,20.09585273,64.60822457
F3,female,CD,3.83,9.326393021,18.49989183,31.54508444
F3,female,CD,3.87,12.73272338,20.46697883,32.11203443
F3,female,CD,3.7,13.71853868,15.12361356,22.11108283
F3,female,CD,4.08,15.6011073,21.33317135,27.80342179
F3,female,CD,3.81,9.728366974,16.12987725,21.90013699
F3,female,CD,3.82,15.1080954,20.06860883,18.77316664
F3,female,CD,3.63,14.71256561,25.85127003,10.69175755
F3,female,HSD,3.87,4.734304324,6.450038498,12.9412737
F3,female,HSD,3.29,6.542632506,17.27805017,15.36303484
F3,female,HSD,4.03,10.60103432,13.15388976,0
F3,female,HSD,3.97,12.01460857,25.43370941,56.4791716
F3,female,HSD,3.46,7.308071294,7.834373242,11.9544617
F3,female,HSD,3.5,8.568527961,15.28241548,28.05907937
F3,female,HSD,3.61,9.53066887,17.42154709,24.00244016
F3,female,HSD,3.95,12.91832038,19.13535745,47.23196791
F4,male,NSD,2.42,4.879576476,31.65719908,18.30809409
F4,male,NSD,2.4,5.717456994,29.06320378,21.2339375
F4,male,NSD,2.64,8.037833826,37.09830536,25.70199782
F4,male,NSD,2.5,7.424309627,44.39274695,30.19913221
F4,male,NSD,2.44,7.319033478,37.00979281,27.10663142
F4,male,NSD,2.32,4.54081137,36.29732897,20.13736831
F4,male,NSD,2.35,7.839915149,30.38963544,25.67083937
F4,male,NSD,2.47,9.078348283,45.97720957,22.23666736
F4,male,NSD,2.53,6.086311023,NA,23.03044079
F4,male,NSD,2.44,6.768856811,NA,15.50061624
F4,male,NSD,2.5,7.035946066,NA,8.75992547
F4,male,NSD,2.58,8.321192907,NA,29.31175001
F4,male,LSD,2.46,3.037864932,28.01530927,27.18891925
F4,male,LSD,2.59,8.128802803,30.42127195,26.17735065
F4,male,LSD,2.42,5.272632591,30.43152241,26.04947766
F4,male,LSD,2.5,6.377293182,35.73796474,27.29306207
F4,male,LSD,2.38,5.257868933,32.83755931,22.85233975
F4,male,LSD,2.5,6.062131749,31.75708293,26.63483716
F4,male,LSD,2.55,9.621882188,31.09546013,31.01659892
F4,male,LSD,2.52,7.321811617,33.30566229,27.13755832
F4,male,LSD,2.29,4.722278083,NA,15.8083059
F4,male,LSD,2.57,7.540811774,NA,21.00561444
F4,male,LSD,2.55,8.206401746,NA,25.48161822
F4,male,LSD,2.46,7.114523505,NA,12.46819872
F4,male,CD,2.57,9.286822898,18.30330078,17.50709249
F4,male,CD,2.66,8.940993355,20.09202313,24.35348505
F4,male,CD,2.7,8.559275869,19.03871248,27.6195873
F4,male,CD,2.6,6.228906731,26.70090572,24.00745911
F4,male,CD,2.52,14.5689361,16.85581456,10.20659105
F4,male,CD,2.45,7.249366321,23.22138907,27.26136568
F4,male,CD,2.64,7.531859093,26.04658711,15.28490208
F4,male,CD,2.56,7.652506437,25.49520344,26.88152977
F4,male,CD,2.57,6.053013388,NA,5.300880172
F4,male,CD,2.49,7.406266403,NA,12.86537461
F4,male,CD,2.6,8.332994295,NA,18.71226602
F4,male,CD,2.63,9.10127082,NA,15.16105876
F4,male,HSD,2.57,4.433217248,36.42890181,39.49270868
F4,male,HSD,2.54,5.547739157,28.10748335,26.08189047
F4,male,HSD,2.54,7.960998528,33.10801708,35.33529777
F4,male,HSD,2.54,6.488660794,36.78725137,30.25207995
F4,male,HSD,2.69,9.214665855,33.819867,37.19274155
F4,male,HSD,2.56,7.508175113,39.45739222,19.23256563
F4,male,HSD,2.56,6.951751219,33.01381612,18.23343397
F4,male,HSD,2.55,8.089540332,74.25533735,27.243793
F4,male,HSD,2.53,7.309928192,NA,22.43081255
F4,male,HSD,2.63,8.422057626,NA,24.42979423
F4,male,HSD,2.41,8.644605685,NA,20.50354246
F4,male,HSD,2.49,8.732607177,NA,22.48961505
F4,female,NSD,3.68,13.93943796,35.71578455,53.07751119
F4,female,NSD,3.03,12.1818622,34.30094651,34.56390051
F4,female,NSD,3.43,15.48489251,29.20481276,29.43036173
F4,female,NSD,3.6,18.09095311,48.70220043,63.87514858
F4,female,NSD,3.59,18.21216523,40.44305727,23.00817375
F4,female,NSD,3.64,16.12125614,48.29258705,16.79399809
F4,female,NSD,3.79,15.8788319,37.46604578,12.08726979
F4,female,NSD,3.56,16.15155917,35.33124954,2.255220488
F4,female,NSD,3.94,13.09095311,NA,38.46836892
F4,female,NSD,3.09,10.36368038,NA,22.8905569
F4,female,NSD,3.42,14.72731675,NA,44.76420868
F4,female,NSD,3.35,9.151559173,NA,19.28911879
F4,female,LSD,3.36,11.45458948,35.20063303,30.375919
F4,female,LSD,3.48,12.8788319,43.5350113,40.443202
F4,female,LSD,3.95,18.63640766,44.43260795,34.44833811
F4,female,LSD,3.24,12.78792281,31.07419625,31.85614499
F4,female,LSD,3.7,16.93943796,33.09509489,22.34869763
F4,female,LSD,3.56,12.36368038,54.94671454,22.48377724
F4,female,LSD,3.1,9.606104627,399.5318765,12.97016656
F4,female,LSD,3.55,14.24246826,49.86103011,50.63888767
F4,female,LSD,3.43,10.06065008,NA,36.41392619
F4,female,LSD,3.7,13.1818622,NA,23.4961039
F4,female,LSD,3.54,16.81822584,NA,37.85974026
F4,female,LSD,3.38,12.24246826,NA,17.58804021
F4,female,CD,3.68,9.242468264,42.34378873,55.53719275
F4,female,CD,3.96,14.48489251,31.99791621,42.36256512
F4,female,CD,3.79,15.5758016,34.35528298,52.89877467
F4,female,CD,3.8,14.81822584,21.63010012,9.385163991
F4,female,CD,3.17,8.484892506,15.30826104,15.75239563
F4,female,CD,3.8,11.39398342,39.88192875,66.7077115
F4,female,CD,3.52,10.90913493,23.29781171,24.6162888
F4,female,CD,3.74,17.1818622,32.68025686,28.8181378
F4,female,CD,3.93,13.33337735,NA,8.836114171
F4,female,CD,3.84,16.63640766,NA,30.99071099
F4,female,CD,3.48,11.75761978,NA,29.86949887
F4,female,CD,4.03,18.72731675,NA,51.06929342
F4,female,HSD,3.57,9.030347051,51.90073752,50.6645682
F4,female,HSD,3.92,8.969740991,36.54755048,42.3183946
F4,female,HSD,3.74,16.78792281,43.62592039,51.99173821
F4,female,HSD,3.83,14.36368038,50.67085247,60.72106538
F4,female,HSD,3.56,12.36368038,39.53292143,26.82276029
F4,female,HSD,3.99,18.09095311,45.80564871,49.02769096
F4,female,HSD,3.62,20.93943796,55.95716386,61.90801967
F4,female,HSD,3.92,16.60610463,41.25601443,31.12270893
F4,female,HSD,3.77,13.15155917,NA,20.6789493
F4,female,HSD,3.38,12.78792281,NA,35.68665346
F4,female,HSD,3.33,13.21216523,NA,32.9912246
F4,female,HSD,3.54,13.42428645,NA,19.96554406
F5,male,NSD,2.49,4.431546189,7.626455839,35.21554535
F5,male,NSD,2.63,6.020618856,13.60302483,29.70511356
F5,male,NSD,2.64,5.779872067,12.54372772,25.72464119
F5,male,NSD,2.67,4.781027993,12.48297538,15.75370827
F5,male,NSD,2.52,3.45347283,6.49295338,9.576142537
F5,male,NSD,2.62,5.822404074,13.5980391,26.01246706
F5,male,NSD,2.56,5.163079796,16.53973014,29.96390222
F5,male,NSD,2.57,3.9982996,13.9944848,11.49636891
F5,male,NSD,2.63,7.984743843,12.34412893,15.52880594
F5,male,NSD,2.77,5.980403049,12.43635212,15.42345738
F5,male,NSD,2.76,6.376772769,10.26577626,5.695851302
F5,male,NSD,2.68,6.831661612,14.22886952,36.96746684
F5,male,LSD,2.71,5.700717933,7.66258524,19.19141466
F5,male,LSD,2.62,5.733625333,10.07910969,14.36651409
F5,male,LSD,2.44,5.913415838,13.21428108,22.80691876
F5,male,LSD,2.65,2.323934756,18.04743345,20.8909788
F5,male,LSD,2.58,7.671788161,14.43839518,30.81131011
F5,male,LSD,2.59,4.889377059,10.84451208,11.17863192
F5,male,LSD,2.55,5.712984112,23.84697645,21.90247508
F5,male,LSD,2.62,7.348449426,16.21623891,19.54935642
F5,male,LSD,2.61,7.25095023,12.25547845,20.87981984
F5,male,LSD,2.58,6.219205195,13.86104097,11.56902299
F5,male,LSD,2.43,7.531941825,15.12461365,9.845094416
F5,male,LSD,2.5,6.979543297,15.92050042,22.67900481
F5,male,CD,2.51,5.950925807,9.776513442,27.4494833
F5,male,CD,2.5,4.925161609,8.907852917,15.50154196
F5,male,CD,2.64,7.301683035,12.88955934,21.74051535
F5,male,CD,2.47,6.02627593,14.14553779,23.55104512
F5,male,CD,2.41,7.151884942,14.3782084,33.5268675
F5,male,CD,2.57,10.93819406,7.81923529,13.29044492
F5,male,CD,2.38,5.791317899,13.94356781,27.18927006
F5,male,CD,2.51,4.153331694,12.17014893,15.72018774
F5,male,CD,2.53,8.128940857,15.9731357,22.21598304
F5,male,CD,2.51,6.991649896,14.00877792,11.25069073
