"","metabolite","generation","treatment","sex","pAdj","AllSig","variable","estimate","std.error","statistic","p.value"
"56","Trehalose","F0","LSD","male",0.847979160240028," ","TreatmentLSD",-1.45906198179517,3.96729522518324,-0.367772474438874,0.714454451277747
"59","Trehalose","F1","LSD","male",0.561769090746785," ","TreatmentLSD",4.95753338851874,4.36767361096991,1.13505124926628,0.261276274047962
"62","Trehalose","F2","LSD","male",0.983502080234269," ","TreatmentLSD",0.276862811089833,8.58695464493733,0.0322422584650618,0.974395579491359
"65","Trehalose","F3","LSD","male",0.368606898310377," ","TreatmentLSD",8.59171617771942,5.68623189694102,1.51096830615393,0.136521073448288
"68","Trehalose","F4","LSD","male",0.918843352370599," ","TreatmentLSD",2.77997579099531,16.6515067957123,0.166950404254775,0.867796499461121
"71","Trehalose","F5","LSD","male",0.833454962680727," ","TreatmentLSD",0.992433639548309,2.11589880894381,0.469036437542919,0.640335432317109
"55","Trehalose","F0","NSD","male",0.320529647877634," ","TreatmentNSD",-6.83860173897236,4.20753419417588,-1.62532291441349,0.10981108306919
"58","Trehalose","F1","NSD","male",0.716986962216119," ","TreatmentNSD",3.1451475176614,4.30725794893079,0.730197159063144,0.468368605488172
"61","Trehalose","F2","NSD","male",0.921848923437693," ","TreatmentNSD",-1.21328805875424,8.55251610592247,-0.141863288385281,0.887706370717778
"64","Trehalose","F3","NSD","male",0.837053543890468," ","TreatmentNSD",2.37986881290308,5.63256502659388,0.422519545121386,0.674293132578432
"67","Trehalose","F4","NSD","male",0.858059865910097," ","TreatmentNSD",4.53862524164737,16.7155482574453,0.271521171291873,0.786633468378168
"70","Trehalose","F5","NSD","male",0.740800152881844," ","TreatmentNSD",-1.37593612580975,2.17156884921629,-0.633613862303434,0.528163071962055
