Study,Generation,Sex,Treatment,Sugar Weight,Glucose,Trehalose,Glycogen
Pilot,F5,female,LSD,3.87,11.23013925,15.70156127,54.65076583
Pilot,F5,female,CD,3.87,11.30566509,18.54387831,114.6415797
Pilot,F5,female,CD,3.51,6.803147132,15.27770634,68.44912102
Pilot,F5,female,CD,3.32,12.20870313,20.09204716,57.69692312
Pilot,F5,female,CD,3.44,11.80364305,22.01569438,95.82119083
Pilot,F5,female,CD,3.48,9.365093639,21.99035786,65.95295104
Pilot,F5,female,CD,3.48,14.07789577,33.68639149,78.60777333
Pilot,F5,female,CD,3.59,12.73165141,35.33562737,46.5781977
Pilot,F5,female,CD,3.66,12.60672447,19.37070572,62.7903213
Pilot,F5,female,HSD,3.85,12.21752916,23.11348477,140.5633699
Pilot,F5,female,HSD,3.71,11.0290889,33.76713315,97.98132468
Pilot,F5,female,HSD,3.64,12.56319729,25.76792027,136.3834522
Pilot,F5,female,HSD,3.77,12.28363335,21.53919199,136.9087077
Pilot,F5,female,HSD,3.76,13.5154394,24.11348477,135.3816582
Pilot,F5,female,HSD,3.66,9.747464157,32.76713315,144.244149
Pilot,F5,female,HSD,3.48,14.91110507,25.76792027,170.412459
Pilot,F5,female,HSD,3.65,9.643732448,19.53919199,152.3642619
Main,F0,male,NSD,2.49,2.0928,2.32,11.9163
Main,F0,male,NSD,2.31,1.9675,5.8612,14.1371
Main,F0,male,NSD,2.47,1.5317,2.1967,12.3007
Main,F0,male,NSD,2.65,1.3873,1.83,11.5309
