Study,Generation,Treatment,Sex,Sugar.Weight,Glucose,Trehalose,Glycogen
Main,F1,LSD,female,3.48,14.48752948,21.45614957,26.34150017
Main,F1,LSD,female,3.43,10.9390078,9.483580833,20.36881818
Main,F1,LSD,female,3.47,12.02323172,5.907701496,20.86263027
Main,F1,LSD,female,3.49,13.21767619,14.7565229,29.78655414
Main,F1,LSD,female,3.37,9.427353991,6.686149073,16.31126656
Main,F1,LSD,female,3.29,12.31454505,8.041854651,7.978343706
Main,F1,LSD,female,3.29,15.36654431,24.37873552,28.61623353
Main,F1,LSD,female,3.41,9.180260039,0.959727296,6.081920688
Main,F1,LSD,female,3.39,10.9326272,21.41701225,12.78664052
Main,F1,LSD,female,3.39,15.18926828,19.29672008,19.24641108
Main,F1,LSD,female,3.33,12.06215966,14.5725985,17.17493483
Main,F1,LSD,female,3.13,17.16031922,16.62479998,19.89154717
Main,F1,LSD,female,3.69,19.77632976,20.58360539,28.51827851
Main,F1,LSD,female,3.22,13.80561664,6.43444689,18.61202469
Main,F1,LSD,female,3.49,13.70473807,11.48219617,21.14286678
Main,F1,LSD,female,3.52,14.51237997,10.58463875,33.74428991
Main,F1,LSD,female,3.62,11.62296134,18.2823917,27.71802768
Main,F1,LSD,female,3.61,16.55161487,18.89594011,23.43512756
Main,F1,LSD,female,3.42,13.49672954,14.39402935,29.53113298
Main,F1,LSD,female,3.74,20.38080937,23.32642048,28.96386691
Main,F1,LSD,female,3.61,14.98754565,13.32636898,32.63379334
Main,F1,LSD,female,3.63,15.51837344,10.2288187,34.17113132
Main,F1,LSD,female,3.42,15.36236726,7.420042296,30.09394769
Main,F1,LSD,female,3.6,19.88526315,11.46434234,42.15735101
Main,F1,LSD,female,3.61,13.50215052,9.559563279,43.61766467
Main,F1,LSD,female,3.82,10.8677626,8.910754897,33.80057989
Main,F1,LSD,female,3.87,8.898944908,5.960459012,26.84014215
Main,F1,LSD,female,3.59,9.561911861,9.80921911,24.14418797
Main,F1,LSD,female,3.63,13.51204167,13.43531541,32.60568036
Main,F1,LSD,female,3.63,11.31604665,11.86720789,30.60907032
Main,F1,LSD,female,3.76,12.98101286,7.594720809,25.4616412
Main,F1,LSD,female,3.75,12.82603661,11.42028812,30.21359859
Main,F1,HSD,male,2.61,7.101418099,5.221602095,3.271930678
Main,F1,HSD,male,2.62,8.081901553,7.821380925,19.28968725
Main,F1,HSD,male,2.53,8.445223177,9.479889074,11.68221845
Main,F1,HSD,male,2.56,6.146461202,11.27280152,3.426519788
Main,F1,HSD,male,2.48,4.181466718,10.71201926,15.19168352
Main,F1,HSD,male,2.57,5.793951798,7.572219011,7.439473351
Main,F1,HSD,male,2.5,6.61580712,16.36302789,8.367598127
Main,F1,HSD,male,2.38,8.109430685,11.01312049,6.026069861
Main,F1,HSD,male,2.42,8.572029962,6.491098192,5.189337718
Main,F1,HSD,male,2.56,8.302737609,7.818900209,7.731556087
Main,F1,HSD,male,2.5,9.018865819,12.42730129,7.97003752
Main,F1,HSD,male,2.56,6.254916948,9.142321053,12.65035084
Main,F1,HSD,male,2.51,9.210333174,18.72994443,15.624078
Main,F1,HSD,male,2.61,7.735408629,13.08420406,30.05011202
Main,F1,HSD,male,2.48,10.75959957,18.31097993,21.45872057
Main,F1,HSD,male,2.47,5.504953833,6.227072772,20.33076653
Main,F1,HSD,male,2.52,7.904258364,7.969653095,13.69270312
Main,F1,HSD,male,2.63,9.405020343,7.485901458,28.00792238
Main,F1,HSD,male,2.53,10.04101043,21.92842869,28.63798963
Main,F1,HSD,male,2.49,7.009450889,12.44286701,14.87268655
Main,F1,HSD,male,2.51,8.606974724,13.59101417,16.04719622
Main,F1,HSD,male,2.5,8.911118738,14.67589422,24.29300438
Main,F1,HSD,male,2.55,7.594431836,10.05915943,19.98321262
Main,F1,HSD,male,2.5,9.113773025,9.655939556,26.55368513
Main,F1,HSD,male,2.5,7.508349553,9.667952987,14.23947845
Main,F1,HSD,male,2.46,11.87657499,8.893361462,25.32907128
Main,F1,HSD,male,2.36,3.898043936,7.505358721,16.17530543
Main,F1,HSD,male,2.36,5.713906272,7.096039519,12.42221391
Main,F1,HSD,male,2.46,7.729161157,7.763881974,23.4799958
Main,F1,HSD,male,2.53,7.132318911,11.75049042,21.29007501
Main,F1,HSD,male,2.46,7.384663846,8.56504749,18.55889061
Main,F1,HSD,male,2.46,7.004221053,7.794689293,15.03791804
Main,F1,HSD,male,2.5,7.791296693,6.273871587,20.4783181
Main,F1,HSD,female,3.61,9.875540048,12.00523395,13.45116406
Main,F1,HSD,female,3.64,14.02803505,19.14368933,27.81279562
Main,F1,HSD,female,3.73,12.32327859,19.38722915,39.12819506
Main,F1,HSD,female,3.53,10.45627686,10.16015456,12.22608591
Main,F1,HSD,female,3.65,9.67906705,20.86832903,22.6536883
Main,F1,HSD,female,3.53,13.37145658,22.10853808,27.37459415
Main,F1,HSD,female,3.91,14.54170877,18.27070075,24.11961422
Main,F1,HSD,female,3.5,11.06093847,11.82300572,27.29567886
Main,F1,HSD,female,3.74,15.64822241,12.38398284,20.27985355
Main,F1,HSD,female,3.36,10.42499392,15.29748172,11.93535216
Main,F1,HSD,female,3.57,9.314456045,10.16171217,16.78665696
Main,F1,HSD,female,3.38,15.55573292,21.03853112,21.75946529
Main,F1,HSD,female,3.66,6.696537026,19.01325821,32.44577019
Main,F1,HSD,female,3.69,13.43130949,17.38970568,40.11797898
Main,F1,HSD,female,3.49,9.62073954,14.72176734,24.75849094
Main,F1,HSD,female,3.35,8.519151357,16.17826456,31.15556464
Main,F1,HSD,female,3.58,10.43795377,18.22228289,27.16903679
Main,F1,HSD,female,3.52,13.65108646,19.2813895,39.05551148
Main,F1,HSD,female,3.56,11.60415754,10.5951447,25.88691175
Main,F1,HSD,female,3.56,12.07466202,14.64841881,32.21211487
Main,F1,HSD,female,3.65,13.00714336,20.36496229,36.4064676
Main,F1,HSD,female,3.61,9.870643841,16.77292639,36.22348087
Main,F1,HSD,female,3.68,11.4722474,7.309294027,33.55056793
Main,F1,HSD,female,3.41,12.02890558,20.14576746,32.47636962
Main,F1,HSD,female,3.67,10.12502846,13.99408234,45.44581069
Main,F1,HSD,female,3.76,8.928632361,9.57860704,40.78515962
Main,F1,HSD,female,3.49,9.331486926,10.30406128,33.36998657
Main,F1,HSD,female,3.58,12.18101599,5.184452223,32.54057993
Main,F1,HSD,female,3.48,6.976534275,5.127750705,17.93378401
Main,F1,HSD,female,3.63,10.1573549,10.83016489,36.68521626
Main,F1,HSD,female,3.36,10.74535661,12.05345653,26.81784677
Main,F1,HSD,female,3.67,14.02291185,17.93300729,43.55963485
Main,F1,HSD,female,3.49,6.434876613,7.181950605,20.42119087
Main,F1,CD,male,2.64,7.245811313,6.138534642,18.59321313
Main,F1,CD,male,2.66,8.030113643,5.517215542,11.90292791
Main,F1,CD,male,2.5,7.040234887,6.890627267,14.94144552
Main,F1,CD,male,2.25,6.337057631,11.77138549,14.71368404
Main,F1,CD,male,2.56,7.991514008,8.595506712,18.05876401
Main,F1,CD,male,2.63,10.16539468,16.86259969,21.13393265
Main,F1,CD,male,2.47,8.772150331,7.762826924,18.09456374
Main,F1,CD,male,2.52,7.825972828,8.777694611,12.28046139
Main,F1,CD,male,2.46,9.826081551,11.82049829,14.42138008
Main,F1,CD,male,2.48,8.268700403,6.432471477,9.60197117
Main,F1,CD,male,2.57,10.17302867,7.028616979,23.25742402
Main,F1,CD,male,2.54,9.253940344,17.90962585,21.56047053
Main,F1,CD,male,2.67,7.292863904,6.654083488,20.0148104
Main,F1,CD,male,2.69,7.178871507,15.4191474,25.67745696
Main,F1,CD,male,2.49,8.761311863,6.135841225,15.91058752
Main,F1,CD,male,2.55,6.290444833,19.25831769,26.76754384
Main,F1,CD,male,2.68,9.645441015,15.76204445,25.51415269
Main,F1,CD,male,2.62,8.762026689,9.832265994,14.59405678
Main,F1,CD,male,2.48,7.54444644,11.23824103,12.67514015
Main,F1,CD,male,2.63,8.97938578,9.533360901,19.22844521
Main,F1,CD,male,2.55,7.915514123,16.89478488,16.79974943
