Generation,Treatment,Sex,SampleNo,Sugar.Weight,Glucose,Trehalose,Glycogen,Fat.Weight,TAG,Fit.Weight,Fitness
F1,NSD,female,12,3.71,15.01813491,18.00510095,21.56814617,3.34,56.9107952,1.24,84
F1,NSD,female,13,3.59,17.53711465,20.61105887,30.61149455,3.4,44.2982007,0.89,25
F1,NSD,female,14,3.62,13.26317783,18.76663706,25.25829255,3.61,56.06024892,1.14,163
F1,NSD,female,15,3.62,18.08418855,29.12405981,31.01721061,3.19,56.37646548,0.99,20
F1,NSD,female,16,3.54,14.01428645,17.17450295,28.63679336,3.73,50.90799896,0.92,42
F1,NSD,female,17,3.5,11.95365353,10.13484519,15.80616302,3.35,60.03380639,0.93,108
F1,NSD,female,18,3.4,16.61506754,13.80929603,25.98165611,3.87,128.9083049,1.06,167
F1,NSD,female,19,3.56,14.51582717,19.03226048,26.35571249,3.73,87.76456121,0.85,52
F1,NSD,female,20,3.63,10.21458537,13.46439218,21.99421491,3.67,98.33595551,0.94,55
F1,NSD,female,21,3.41,12.02908944,21.82947271,34.95825614,3.75,106.4044736,1.25,110
F1,NSD,female,22,3.45,11.9679559,14.70602068,24.57877885,3.94,92.76828243,1.16,189
F1,NSD,female,23,3.45,15.90606007,17.42762232,47.0065054,3.8,127.909954,1.2,174
F1,NSD,female,24,3.82,17.08964135,21.31378629,37.56189637,3.39,136.598981,1.02,170
F1,NSD,female,25,3.51,14.68644195,26.64083845,37.2913734,3.6,119.7168339,1.27,179
F1,NSD,female,26,3.64,14.60413293,19.68883486,28.69232448,3.72,174.7821589,0.85,15
F1,NSD,female,27,3.45,21.32664061,18.02910598,42.48748155,3.63,76.45080632,1.17,184
F1,NSD,female,28,3.42,9.898057978,6.952640464,24.60117037,3.7,116.3470375,1.08,134
F1,NSD,female,29,3.86,17.29247199,21.2321327,43.04627171,3.46,110.9951657,1.34,190
F1,NSD,female,30,3.5,12.95867656,10.6317036,30.69568652,3.51,44.78974509,1.04,171
F1,NSD,female,31,3.49,13.46280697,18.24433899,35.51416507,3.42,91.49892292,NA,NA
F1,NSD,female,32,3.65,18.83971762,20.23446733,39.6955505,3.36,81.22987344,NA,NA
F1,NSD,female,33,3.2,12.66506036,24.52677006,32.58354411,3.67,87.23759875,NA,NA
F1,LSD,male,1,2.42,7.30848346,6.067942093,8.727299482,2.45,22.03791934,NA,NA
F1,LSD,male,2,2.61,5.343300213,5.98806042,0,2.67,37.38819807,NA,NA
F1,LSD,male,3,2.66,9.76189533,5.775964718,6.378403923,2.49,23.64241747,NA,NA
F1,LSD,male,4,2.37,6.730177559,7.245279012,5.906270501,2.59,25.47813573,NA,NA
F1,LSD,male,5,2.39,7.635639694,5.096132369,7.250160973,2.58,26.70571028,NA,NA
F1,LSD,male,6,2.45,6.358195353,2.372057748,0,2.62,37.85605281,NA,NA
F1,LSD,male,7,2.5,8.017959192,12.14697825,2.31154307,2.49,34.20621267,NA,NA
F1,LSD,male,8,2.5,10.47222587,8.589602654,1.753510636,2.55,32.78345491,NA,NA
F1,LSD,male,9,2.47,7.117531079,8.095193297,2.830939973,2.55,42.57863675,NA,NA
F1,LSD,male,10,2.65,12.6689928,15.72585246,12.04696944,2.57,53.05882846,NA,NA
F1,LSD,male,11,2.36,9.008871652,5.337815375,4.368003805,2.66,32.6078267,NA,NA
F1,LSD,male,12,2.49,7.155378286,24.96782133,13.49478179,2.58,19.24083443,NA,NA
F1,LSD,male,13,2.49,10.42889608,7.807273919,15.26168561,2.62,33.00663127,NA,NA
F1,LSD,male,14,2.47,10.0421128,9.340934689,15.86492197,2.68,34.67373928,NA,NA
