Generation,Treatment,Sex,SampleNo,Sugar.Weight,Glucose,Trehalose,Glycogen,Fat.Weight,TAG,DAG,Fit.Weight,Fitness
F1,NSD,female,1,3.5,10.3772,8.8132,29.8863,3.61,98.74845884,24.10678889,0.88,40
F1,NSD,female,2,3.48,9.4181,10.4997,21.5423,3.68,55.05917988,22.08971169,0.87,11
F1,NSD,female,3,3.68,11.8797,10.948,31.3606,3.53,52.75289666,27.53820523,1.43,191
F1,NSD,female,4,3.44,13.8232,11.08,27.0395,3.51,43.53414274,17.27263967,1.06,138
F1,NSD,female,5,3.8,14.8217,14.1442,41.4372,3.7,67.86929606,23.83579239,1.24,102
F1,NSD,female,6,3.64,9.7061,10.5084,21.4881,3.67,61.62767464,22.3981255,1.06,198
F1,NSD,female,7,3.87,8.8646,13.0358,24.0799,3.22,18.51228272,14.76184714,1.01,79
F1,NSD,female,8,3.64,16.6749,16.9221,36.3937,3.42,26.0794541,15.2645141,1.3,217
F1,NSD,female,9,3.48,8.4975,8.1906,29.4687,3.45,27.89241436,16.50213432,0.95,83
F1,NSD,female,10,3.52,9.1838,8.4707,26.9724,3.76,49.34753783,19.94648857,1.13,114
F1,NSD,female,11,3.69,6.9586,9.4107,23.888,3.47,57.23425004,21.35883931,1.13,127
F1,NSD,female,12,3.71,14.2834,15.2506,23.3997,3.34,56.9107952,19.69701499,1.24,84
F1,NSD,female,13,3.59,16.8764,18.2697,33.4153,3.4,44.2982007,16.08777434,0.89,25
F1,NSD,female,14,3.62,12.4768,15.8636,26.4125,3.61,56.06024892,19.39448148,1.14,163
F1,NSD,female,15,3.62,17.4396,27.302,31.4006,3.19,56.37646548,19.97639766,0.99,20
F1,NSD,female,16,3.54,13.25,14.2666,30.0809,3.73,50.90799896,19.12665327,0.92,42
F1,NSD,female,17,3.5,11.1288,6.6236,16.4549,3.35,60.03380639,20.15621862,0.93,108
F1,NSD,female,18,3.4,15.9273,11.0006,28.4296,3.87,128.9083049,44.82275957,1.06,167
F1,NSD,female,19,3.56,13.7663,16.279,27.9934,3.73,87.76456121,35.81132499,0.85,52
F1,NSD,female,20,3.63,9.3385,9.9451,21.9718,3.67,98.33595551,28.2905898,0.94,55
F1,NSD,female,21,3.41,11.2064,18.9585,35.6362,3.75,106.4044736,33.46698254,1.25,110
F1,NSD,female,22,3.45,11.1435,11.4434,25.2331,3.94,92.76828243,39.5468148,1.16,189
F1,NSD,female,23,3.45,15.2794,16.6947,30.8398,3.8,127.909954,40.30537002,1.2,174
F1,NSD,female,24,3.82,16.5269,20.6231,20.4412,3.39,136.598981,57.53851262,1.02,170
F1,NSD,female,25,3.51,13.9938,26.2316,21.7724,3.6,119.7168339,41.154569,1.27,179
F1,NSD,female,26,3.64,13.9071,19.0911,13.0801,3.72,174.7821589,93.196815,0.85,15
F1,NSD,female,27,3.45,20.9929,17.0118,22.6195,3.63,76.45080632,25.52899265,1.17,184
F1,NSD,female,28,3.42,8.9466,6.2625,12.0642,3.7,116.3470375,45.98792803,1.08,134
F1,NSD,female,29,3.86,16.7407,20.5279,25.8845,3.46,110.9951657,48.16957302,1.34,190
F1,NSD,female,30,3.5,12.1727,9.8738,16.2179,3.51,44.78974509,37.52303882,1.04,171
F1,NSD,female,31,3.49,12.704,17.6699,20.7825,3.42,91.49892292,37.85744866,NA,NA
F1,NSD,female,32,3.65,18.3716,19.4166,21.4418,3.36,81.22987344,31.12919767,NA,NA
F1,NSD,female,33,3.2,11.8632,24.1711,18.3346,3.67,87.23759875,36.42123081,NA,NA
F1,LSD,male,1,2.42,6.2893,7.0822,14.211,2.45,22.03791934,8.72064947,NA,NA
F1,LSD,male,2,2.61,4.2695,7.3094,0,2.67,37.38819807,21.99886445,NA,NA
F1,LSD,male,3,2.66,8.8108,6.4069,12.4629,2.49,23.64241747,12.75770477,NA,NA
F1,LSD,male,4,2.37,5.6949,8.3499,11.2484,2.59,25.47813573,13.67992519,NA,NA
F1,LSD,male,5,2.39,6.6255,6.0593,12.814,2.58,26.70571028,16.11426081,NA,NA
F1,LSD,male,6,2.45,5.3126,3.5348,3.8322,2.62,37.85605281,15.90265657,NA,NA
F1,LSD,male,7,2.5,7.0185,13.0504,7.969,2.49,34.20621267,17.19527366,NA,NA
F1,LSD,male,8,2.5,9.5409,9.1096,8.012,2.55,32.78345491,16.25370882,NA,NA
F1,LSD,male,9,2.47,6.093,9.1393,8.2679,2.55,42.57863675,17.87235483,NA,NA
F1,LSD,male,10,2.65,11.7987,15.9026,18.8435,2.57,53.05882846,24.20759121,NA,NA
F1,LSD,male,11,2.36,8.0369,6.0864,10.2681,2.66,32.6078267,15.54548009,NA,NA
F1,LSD,male,12,2.49,6.1894,21.7396,12.2916,2.58,19.24083443,11.35326887,NA,NA
F1,LSD,male,13,2.49,9.5592,4.0054,15.322,2.62,33.00663127,13.63374467,NA,NA
F1,LSD,male,14,2.47,9.161,5.5801,15.7759,2.68,34.67373928,19.32544881,NA,NA
F1,LSD,male,15,2.39,6.8179,7.3209,10.7069,2.47,36.32515993,17.62165961,NA,NA
F1,LSD,male,16,2.54,8.6371,4.0505,13.9128,2.41,39.56519433,24.73502554,NA,NA
F1,LSD,male,17,2.43,8.4213,8.8324,17.1203,2.49,38.82041286,27.3294069,NA,NA
F1,LSD,male,18,2.55,7.0543,7.1201,20.1242,2.61,68.43515565,30.87122126,NA,NA
